Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
668_Wismabakrie1,668_Wismabakrie1|4435024E-LTE-TAMAN-RASUNA|430033|6,27,22%,-81.85185185,NOT GO -> Good Coverage from Surrounding
668_Wismabakrie1,668_Wismabakrie1|4435024E-LTE-TAMAN-RASUNA|430033|9,32,14%,-83.15625,NOT GO -> Good Coverage from Surrounding
668_Wismabakrie1,668_Wismabakrie1|SH4431853EB-LTE-POLE-R2S1-KARBELLA|430454|5,12,9%,-87.41666667,NOT GO -> Good Coverage from Surrounding
669_Wismabcaifc2-WNI,669_Wismabcaifc2-WNI|441PC085E-LTE-PC085-CHAZE-PLAZA|420578|4,61,34%,-81.2295082,NOT GO -> Have Pico
669_Wismabcaifc2-WNI,669_Wismabcaifc2-WNI|441PC085E-LTE-PC085-CHAZE-PLAZA|420578|5,23,10%,-90.17391304,NOT GO -> Have Pico
669_Wismabcaifc2-WNI,669_Wismabcaifc2-WNI|4425022E_C2|421150|6,16,15%,-82,NOT GO -> Have Pico
669_Wismabcaifc2-WNI,669_Wismabcaifc2-WNI|4425022E_C2|421150|9,46,14%,-93.08695652,NOT GO -> Have Pico
67_Megagldkkyrn,67_Megagldkkyrn|4413450E_CO|410095|4,16,26%,-84.875,NOT GO -> Have Pico
67_Megagldkkyrn,67_Megagldkkyrn|4413450E_CO|410095|7,11,10%,-85.54545455,NOT GO -> Have Pico
67_Megagldkkyrn,67_Megagldkkyrn|441PC914E-LTE-MEGA-GLODOK-KEMAYORAN|410295|5,23,51%,-94.04347826,NOT GO -> Have Pico
670_Wismabudi,670_Wismabudi|441PL486E_CO|430977|26,55,21%,-91.70909091,NOT GO -> Covered by Surrounding
670_Wismabudi,670_Wismabudi|4435024E-LTE-TAMAN-RASUNA|430033|6,97,42%,-88.32989691,NOT GO -> Covered by Surrounding
253_Rsbudiasih,253_Rsbudiasih|4431907E_CO|430193|17,12,7%,-98.08333333,OK -> GO
670_Wismabudi,670_Wismabudi|443PC127E-LTE-WIRA-USAHA|430445|4,44,11%,-85.31818182,NOT GO -> Covered by Surrounding
1043_PASAR PECAH KULIT,1043_PASAR PECAH KULIT|4424890E-LTE-NANAS-JAYAKARTA|420185|7,8,7%,-97.875,"NOT GO -> Small Building, covered by Surrounding"
671_Wismakodel,671_Wismakodel|4411274E_CO|430032|17,2,7%,-87,NOT GO -> Covered by Surrounding
671_Wismakodel,671_Wismakodel|4411274E_CO|430032|3,3,6%,-83.66666667,NOT GO -> Covered by Surrounding
23_SILOAM HOSPITAL LIPPO VILLAGE,23_SILOAM HOSPITAL LIPPO VILLAGE|4475838E-LTE-FLAMBOYAN-BENCONGAN|470262|8,6,7%,-104.3333333,OK -> GO
671_Wismakodel,671_Wismakodel|4411274E_CO|430032|9,2,5%,-82.5,NOT GO -> Covered by Surrounding
672_Wsmadhigraha,672_Wsmadhigraha|441PC339E_CO|430625|4,122,31%,-82.64754098,NOT GO -> Have Pico
672_Wsmadhigraha,672_Wsmadhigraha|441PC339E_CO|430625|5,60,7%,-79.93333333,NOT GO -> Have Pico
672_Wsmadhigraha,672_Wsmadhigraha|4431299E_CO|430067|6,34,26%,-82.05882353,NOT GO -> Have Pico
672_Wsmadhigraha,672_Wsmadhigraha|4431299E_CO|430067|9,16,8%,-89.625,NOT GO -> Have Pico
672_Wsmadhigraha,672_Wsmadhigraha|SH4431856E-LTE-POLE-R5M|430467|5,57,8%,-94.89473684,NOT GO -> Have Pico
673_Wsmargomngal,673_Wsmargomngal|4431338E-LTE-WIDYA-CHANDRA|430400|5,6,8%,-72.16666667,NOT GO -> Covered by Surrounding
673_Wsmargomngal,673_Wsmargomngal|4431524E|431111|1,7,14%,-76.14285714,NOT GO -> Covered by Surrounding
673_Wsmargomngal,673_Wsmargomngal|4431524E|431111|4,19,39%,-72.21052632,NOT GO -> Covered by Surrounding
673_Wsmargomngal,673_Wsmargomngal|4431524E|431111|7,19,27%,-79.57894737,NOT GO -> Covered by Surrounding
674_Wsmindocemen,674_Wsmindocemen|441PC439E-LTE-WISMA-INDOCEMENT|420556|4,22,13%,-93.40909091,NOT GO -> Have Pico
674_Wsmindocemen,674_Wsmindocemen|441PL332E_CO|421430|24,2,10%,-77.5,NOT GO -> Have Pico
674_Wsmindocemen,674_Wsmindocemen|441PL390E|421264|21,2,8%,-87.5,NOT GO -> Have Pico
674_Wsmindocemen,674_Wsmindocemen|441PL390E|421264|25,3,7%,-91.66666667,NOT GO -> Have Pico
674_Wsmindocemen,674_Wsmindocemen|4425018E_CO|420011|1,178,6%,-83.23595506,NOT GO -> Have Pico
674_Wsmindocemen,674_Wsmindocemen|4425018E_CO|420011|4,2,17%,-82,NOT GO -> Have Pico
674_Wsmindocemen,674_Wsmindocemen|4425018E_CO|420011|7,4,19%,-82,NOT GO -> Have Pico
675_Wsmtugu,675_Wsmtugu|441PX210E_CO|430831|14,7,15%,-75.42857143,NOT GO -> Have Pico
675_Wsmtugu,675_Wsmtugu|4435024E-LTE-TAMAN-RASUNA|430033|5,21,18%,-89.80952381,NOT GO -> Have Pico
664_Thepeakir1-MAC,664_Thepeakir1-MAC|441PL384E_CO|420893|12,15,7%,-108.7333333,NOT GO -> Have Pico
675_Wsmtugu,675_Wsmtugu|4435024E-LTE-TAMAN-RASUNA|430033|9,7,12%,-93.14285714,NOT GO -> Have Pico
675_Wsmtugu,675_Wsmtugu|SH4433645E_CO|430865|4,26,24%,-82.15384615,NOT GO -> Have Pico
676_Wtc1-IBS,676_Wtc1-IBS|442PX197E_CO|420331|15,317,57%,-87.8170347,NOT GO -> Have Pico
676_Wtc1-IBS,676_Wtc1-IBS|442PX197E_CO|420331|5,78,8%,-73.35897436,NOT GO -> Have Pico
676_Wtc1-IBS,676_Wtc1-IBS|442PX197E_CO|420331|6,50,10%,-73.84,NOT GO -> Have Pico
677_Wtc2,677_Wtc2|441PC199E_CO|420885|13,5,9%,-85.2,NOT GO -> Have Pico
677_Wtc2,677_Wtc2|441PC199E_CO|420885|16,19,30%,-85,NOT GO -> Have Pico
