rsrp-l900-qty,rsrp-l900-avg,compare,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
153,-119.7385621,TRUE,"POLYGON ((105.886573 -6.496903, 105.886932 -6.496903, 105.886932 -6.496544, 105.886573 -6.496544, 105.886573 -6.496903))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
165,-113.3757576,TRUE,"POLYGON ((105.887651 -6.46887, 105.88801 -6.46887, 105.88801 -6.468511, 105.887651 -6.468511, 105.887651 -6.46887))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
173,-118.3526012,TRUE,"POLYGON ((105.887651 -6.495466, 105.88801 -6.495466, 105.88801 -6.495106, 105.887651 -6.495106, 105.887651 -6.495466))",BANTEN,PANDEGLANG,PATIA,36_1_24,48.66292912,KAB. PANDEGLANG_patia,patia,KAB. PANDEGLANG,P2,SubUrban
220,-118.0818182,TRUE,"POLYGON ((105.889448 -6.809581, 105.889807 -6.809581, 105.889807 -6.809222, 105.889448 -6.809222, 105.889448 -6.809581))",BANTEN,LEBAK,WANASALAM,36_2_21,115.9143716,KAB. LEBAK_wanasalam,wanasalam,KAB. LEBAK,P2,Rural
262,-120.8091603,TRUE,"POLYGON ((105.890526 -6.811019, 105.890885 -6.811019, 105.890885 -6.810659, 105.890526 -6.810659, 105.890526 -6.811019))",BANTEN,LEBAK,WANASALAM,36_2_21,115.9143716,KAB. LEBAK_wanasalam,wanasalam,KAB. LEBAK,P2,Rural
1630,-107.4165644,TRUE,"POLYGON ((105.893042 -6.365722, 105.893401 -6.365722, 105.893401 -6.365363, 105.893042 -6.365363, 105.893042 -6.365722))",BANTEN,PANDEGLANG,CIKEDAL,36_1_26,25.23288075,KAB. PANDEGLANG_cikedal,cikedal,KAB. PANDEGLANG,P2,SubUrban
1601,-106.6577139,TRUE,"POLYGON ((105.893042 -6.366082, 105.893401 -6.366082, 105.893401 -6.365722, 105.893042 -6.365722, 105.893042 -6.366082))",BANTEN,PANDEGLANG,CIKEDAL,36_1_26,25.23288075,KAB. PANDEGLANG_cikedal,cikedal,KAB. PANDEGLANG,P2,SubUrban
171,-112.374269,TRUE,"POLYGON ((105.893761 -6.809222, 105.89412 -6.809222, 105.89412 -6.808862, 105.893761 -6.808862, 105.893761 -6.809222))",BANTEN,LEBAK,WANASALAM,36_2_21,115.9143716,KAB. LEBAK_wanasalam,wanasalam,KAB. LEBAK,P2,Rural
1234,-109.0218801,TRUE,"POLYGON ((105.894479 -6.389802, 105.894839 -6.389802, 105.894839 -6.389443, 105.894479 -6.389443, 105.894479 -6.389802))",BANTEN,PANDEGLANG,CIKEDAL,36_1_26,25.23288075,KAB. PANDEGLANG_cikedal,cikedal,KAB. PANDEGLANG,P2,SubUrban
360,-110.8833333,TRUE,"POLYGON ((105.895917 -6.608317, 105.896276 -6.608317, 105.896276 -6.607958, 105.895917 -6.607958, 105.895917 -6.608317))",BANTEN,PANDEGLANG,MUNJUL,36_1_8,79.13150374,KAB. PANDEGLANG_munjul,munjul,KAB. PANDEGLANG,P2,Rural
154,-111.3311688,TRUE,"POLYGON ((105.899152 -6.610833, 105.899511 -6.610833, 105.899511 -6.610474, 105.899152 -6.610474, 105.899152 -6.610833))",BANTEN,PANDEGLANG,MUNJUL,36_1_8,79.13150374,KAB. PANDEGLANG_munjul,munjul,KAB. PANDEGLANG,P2,Rural
318,-106.6006289,TRUE,"POLYGON ((105.899511 -6.36105, 105.89987 -6.36105, 105.89987 -6.360691, 105.899511 -6.360691, 105.899511 -6.36105))",BANTEN,PANDEGLANG,JIPUT,36_1_16,56.87422772,KAB. PANDEGLANG_jiput,jiput,KAB. PANDEGLANG,P2,Rural
195,-111.1435897,TRUE,"POLYGON ((105.900949 -6.361409, 105.901308 -6.361409, 105.901308 -6.36105, 105.900949 -6.36105, 105.900949 -6.361409))",BANTEN,PANDEGLANG,JIPUT,36_1_16,56.87422772,KAB. PANDEGLANG_jiput,jiput,KAB. PANDEGLANG,P2,Rural
890,-105.2730337,TRUE,"POLYGON ((105.901667 -6.359612, 105.902027 -6.359612, 105.902027 -6.359253, 105.901667 -6.359253, 105.901667 -6.359612))",BANTEN,PANDEGLANG,JIPUT,36_1_16,56.87422772,KAB. PANDEGLANG_jiput,jiput,KAB. PANDEGLANG,P2,Rural
196,-120.2193878,TRUE,"POLYGON ((105.902027 -6.731951, 105.902386 -6.731951, 105.902386 -6.731591, 105.902027 -6.731591, 105.902027 -6.731951))",BANTEN,LEBAK,WANASALAM,36_2_21,115.9143716,KAB. LEBAK_wanasalam,wanasalam,KAB. LEBAK,P2,Rural
