rsrp-combined-qty,rsrp-combined-avg,compare,geometry,Tower ID,Frequency System,Longitude,Latitude,distance_existing,Planning ID,Lat,Long,distance_new,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
20810,-109.253532,TRUE,"POLYGON ((107.029465 -6.36105, 107.029824 -6.36105, 107.029824 -6.360691, 107.029465 -6.360691, 107.029465 -6.36105))",,,,,,,,,,JAWA BARAT,BEKASI,SETU,32_16_18,60.20719115,KAB. BEKASI_setu,setu,KAB. BEKASI,P1,SubUrban
20805,-105.6743571,TRUE,"POLYGON ((107.023714 -6.154395, 107.024074 -6.154395, 107.024074 -6.154036, 107.023714 -6.154036, 107.023714 -6.154395))",,,,,,,,,,JAWA BARAT,BEKASI,BABELAN,32_16_2,66.24684024,KAB. BEKASI_babelan,babelan,KAB. BEKASI,P1,Urban
20783,-108.023577,TRUE,"POLYGON ((107.075108 -6.407772, 107.075468 -6.407772, 107.075468 -6.407413, 107.075108 -6.407413, 107.075108 -6.407772))",,,,,,,,,,JAWA BARAT,BEKASI,SERANG BARU,32_16_21,59.41833543,KAB. BEKASI_serang baru,serang baru,KAB. BEKASI,P2,SubUrban
20686,-108.5452963,TRUE,"POLYGON ((107.226056 -6.362847, 107.226416 -6.362847, 107.226416 -6.362488, 107.226056 -6.362488, 107.226056 -6.362847))",,,,,,,,,,JAWA BARAT,KARAWANG,TELUKJAMBE BARAT,32_15_27,74.15596846,KAB. KARAWANG_telukjambe barat,telukjambe barat,KAB. KARAWANG,P1,SubUrban
20402,-105.1151848,TRUE,"POLYGON ((107.015089 -6.140378, 107.015448 -6.140378, 107.015448 -6.140019, 107.015089 -6.140019, 107.015089 -6.140378))",,,,,,,,,,JAWA BARAT,BEKASI,BABELAN,32_16_2,66.24684024,KAB. BEKASI_babelan,babelan,KAB. BEKASI,P1,Urban
20083,-111.5500672,TRUE,"POLYGON ((107.246542 -6.295999, 107.246902 -6.295999, 107.246902 -6.295639, 107.246542 -6.295639, 107.246542 -6.295999))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG TIMUR,32_16_11,53.01158996,KAB. BEKASI_cikarang timur,cikarang timur,KAB. BEKASI,P2,Urban
19909,-113.6767291,TRUE,"POLYGON ((107.233963 -6.509482, 107.234323 -6.509482, 107.234323 -6.509123, 107.233963 -6.509123, 107.233963 -6.509482))",,,,,,,,,,JAWA BARAT,KARAWANG,TEGALWARU,32_15_28,107.1263542,KAB. KARAWANG_tegalwaru,tegalwaru,KAB. KARAWANG,P2,Rural
19817,-107.4657113,TRUE,"POLYGON ((107.233604 -6.506607, 107.233963 -6.506607, 107.233963 -6.506248, 107.233604 -6.506248, 107.233604 -6.506607))",,,,,,,,,,JAWA BARAT,KARAWANG,TEGALWARU,32_15_28,107.1263542,KAB. KARAWANG_tegalwaru,tegalwaru,KAB. KARAWANG,P2,Rural
19717,-109.3792159,TRUE,"POLYGON ((107.540531 -6.342002, 107.540891 -6.342002, 107.540891 -6.341642, 107.540531 -6.341642, 107.540531 -6.342002))",,,,,,,,,,JAWA BARAT,KARAWANG,JATISARI,32_15_14,55.56644806,KAB. KARAWANG_jatisari,jatisari,KAB. KARAWANG,P2,SubUrban
19692,-111.0154885,TRUE,"POLYGON ((107.512858 -6.390161, 107.513217 -6.390161, 107.513217 -6.389802, 107.512858 -6.389802, 107.512858 -6.390161))",,,,,,,,,,JAWA BARAT,KARAWANG,JATISARI,32_15_14,55.56644806,KAB. KARAWANG_jatisari,jatisari,KAB. KARAWANG,P2,SubUrban
