Cellname,LTE_SITE_ID,LTE_SITE_ID_2,SITE_Name
JK4G18_4431389E_4,4431389E,4431389E,4431389E_LTE_BANGKA_V_PETOGONGAN
JK4G18_4431389E_5,4431389E,4431389E,4431389E_LTE_BANGKA_V_PETOGONGAN
JK4G18_4431389E_6,4431389E,4431389E,4431389E_LTE_BANGKA_V_PETOGONGAN
JK4G21_4431475E21_7,4431475E_CO,4431475E,4431475E_LTE_BANGKA_DUA
JK4G21_4431475E21_8,4431475E_CO,4431475E,4431475E_LTE_BANGKA_DUA
JK4G18_441PL261E_36_P2M_M,341PL261G_CO,441PL261E,441PL261E_LTE_HOTEL_THE_RADJA_TENDEAN
JK4G21_441PC157E21_17_P2M,441PC157E_CO,441PC157E,441PC157E_LTE_ELEKTRINDO_BUILDING
JK4G18_441PL261E_24_P2M,341PL261G_CO,441PL261E,441PL261E_LTE_HOTEL_THE_RADJA_TENDEAN
JK4G18_441PL261E_25_P2M,341PL261G_CO,441PL261E,441PL261E_LTE_HOTEL_THE_RADJA_TENDEAN
JK4G18_441PL261E_26_P2M,341PL261G_CO,441PL261E,441PL261E_LTE_HOTEL_THE_RADJA_TENDEAN
JK4G18_441PL261E_34_P2M_M,341PL261G_CO,441PL261E,441PL261E_LTE_HOTEL_THE_RADJA_TENDEAN
JK4G18_441PL261E_35_P2M_M,341PL261G_CO,441PL261E,441PL261E_LTE_HOTEL_THE_RADJA_TENDEAN
JK4G18_443PC139E_14_M,PC139G_CO,443PC139E,443PC139E_LTE_ITC_PERMATA_HIJAU
JK4G18_4433039E_4,4433039E,4433039E,4433039E_LTE_PERMATA_HIJAU_KEBAYORAN
JK4G18_4433039E_5,4433039E,4433039E,4433039E_LTE_PERMATA_HIJAU_KEBAYORAN
JK4G18_4433039E_6,4433039E,4433039E,4433039E_LTE_PERMATA_HIJAU_KEBAYORAN
JK4G18_443PC139E_4,PC139G_CO,443PC139E,443PC139E_LTE_ITC_PERMATA_HIJAU
JK4G21_SH4431347E21_7,SH3431347G_CO,SH4431347E,SH4431347E_LTE_LIMO_GROGOL_SELATAN
JK4G21_SH4431347E21_8,SH3431347G_CO,SH4431347E,SH4431347E_LTE_LIMO_GROGOL_SELATAN
JK4G21_SH4431347E21_9,SH3431347G_CO,SH4431347E,SH4431347E_LTE_LIMO_GROGOL_SELATAN
JK4G21_441PX374E21_17_P2M,441PX374E_BB,441PX374E,441PX374E_LTE_PATAL_SENAYAN
JK4G21_441PX374E21_18_P2M,441PX374E_BB,441PX374E,441PX374E_LTE_PATAL_SENAYAN
JK4G18_4435001E_4,5001G_CO,4435001E,4435001E_LTE_KEBAYORAN_BARU
JK4G18_4435001E_5,5001G_CO,4435001E,4435001E_LTE_KEBAYORAN_BARU
JK4G18_4435001E_6,5001G_CO,4435001E,4435001E_LTE_KEBAYORAN_BARU
JK4G18_4435504E_4,5504G_CO,4435504E,4435504E_LTE_KERINCIVELBAK
JK4G18_4435504E_5,5504G_CO,4435504E,4435504E_LTE_KERINCIVELBAK
JK4G18_4435504E_6,5504G_CO,4435504E,4435504E_LTE_KERINCIVELBAK
JK4G21_SH4431528E21_7,SH4431528E_CO,SH4431528E,SH4431528E_LTE_TERUSAN_HANG_LEKIR
JK4G18_4435172E_4,5172G_CO,4435172E,4435172E_LTE_AHMAD_DAHLAN
JK4G18_4433040E_4,4433040E,4433040E,4433040E_LTE_GANDARIA_3_MAJA
JK4G18_4433040E_5,4433040E,4433040E,4433040E_LTE_GANDARIA_3_MAJA
JK4G18_4433040E_6,4433040E,4433040E,4433040E_LTE_GANDARIA_3_MAJA
JK4G18_4435161E_4,5161G_CO,4435161E,4435161E_LTE_TAMAN_GANDARIA
JK4G18_4435161E_5,5161G_CO,4435161E,4435161E_LTE_TAMAN_GANDARIA
JK4G18_4435161E_6,5161G_CO,4435161E,4435161E_LTE_TAMAN_GANDARIA
JK4G18_4435172E_5,5172G_CO,4435172E,4435172E_LTE_AHMAD_DAHLAN
JK4G18_4435172E_6,5172G_CO,4435172E,4435172E_LTE_AHMAD_DAHLAN
JK4G18_441PC074E_4,441PC074E,441PC074E,441PC074E_LTE_GRAND_MAHAKAM
JK4G18_441PC382E_4,441PC382E,441PC382E,441PC382E_LTE_RSPP
JK4G18_441PC382E_5,441PC382E,441PC382E,441PC382E_LTE_RSPP
JK4G18_441PC382E_6,441PC382E,441PC382E,441PC382E_LTE_RSPP
JK4G21_SH4431519E21_7,SH4431519E_CO,SH4431519E,SH4431519E_LTE_TRUNOJOYO_ASEAN_RELOC
JK4G21_SH4431519E21_8,SH4431519E_CO,SH4431519E,SH4431519E_LTE_TRUNOJOYO_ASEAN_RELOC
JK4G21_SH4431519E21_9,SH4431519E_CO,SH4431519E,SH4431519E_LTE_TRUNOJOYO_ASEAN_RELOC
JK4G21_441PX285E21_8,441PX285E_BB,441PX285E,441PX285E_LTE_SENAYAN_CITY_2
JK4G18_443SCTEMP831E_5,443SCTEMP831E,443SCTEMP831E,443SCTEMP831E_LTE_SMALLCELLS_TEMP_SENAYAN_CITY_EVENT
JK4G18_443SCTEMP831E_4,443SCTEMP831E,443SCTEMP831E,443SCTEMP831E_LTE_SMALLCELLS_TEMP_SENAYAN_CITY_EVENT
JK4G21_441PC016E21_7,441PC016E_CO,441PC016E,441PC016E_LTE_PLAZA_SENAYAN
JK4G21_441PX285E21_7,441PX285E_BB,441PX285E,441PX285E_LTE_SENAYAN_CITY_2
JK4G21_441PX285E21_9,441PX285E_BB,441PX285E,441PX285E_LTE_SENAYAN_CITY_2
JK4G21_443PC831E21_7,443PC831E_BB,443PC831E,443PC831E_LTE_SENAYAN_CITY_CEN
JK4G21_443PC831E21_8,443PC831E_BB,443PC831E,443PC831E_LTE_SENAYAN_CITY_CEN
JK4G21_443PC831E21_9,443PC831E_BB,443PC831E,443PC831E_LTE_SENAYAN_CITY_CEN
JK4G21_441PX364E21_18_P2M,341PX364G_CO,441PX364E,441PX364E_LTE_DEPARTMEN_PU
JK4G18_4435237E_4,5237G_CO,4435237E,4435237E_LTE_SELONG_SRIWIJAYA
JK4G18_4435237E_5,5237G_CO,4435237E,4435237E_LTE_SELONG_SRIWIJAYA
